language,topic,top_words,suggested_name,your_name
de,1,"belästigung, man, sexuelle, männer, unter, wurde, gewalt, frau, sei, debatte, viele, immer, opfer, mann, sexueller",General debate on harassment,
de,2,"man, debatte, zeit, gibt, mich, film, immer, deutschland, wedel, schon, jetzt, sei, ihrer, viel, mir",General debate on harassment,
de,3,"jahres, bewegung, kinder, person, übergriffe, männer, swift, trump, seit, magazin, gemeinsam, weinstein, ball, eltern, judd",Time Person of the Year,
de,4,"weinstein, vorwürfe, harvey, wurde, bewegung, sexuelle, york, hollywood, sei, sexueller, unter, übergriffe, wegen, schauspielerin, argento",Weinstein,
de,5,"trump, präsident, donald, mueller, russland, trumps, ermittlungen, hexenjagd, sei, washington, worden, präsidenten, seinen, regierung, unter","US politics, witch-hunt framing",
de,6,"www, besonders, jetzt, prozent, http, erste, zeigen, aktien, ots, presseportal, newsroom, viele, via, rss, korrektur",DROP  (press release boilerplate),
de,7,"deneuve, catherine, berlinale, sexuelle, debatte, false, freiheit, frankreich, csd, berlin, interview, true, gewalt, sei, pulitzer",General debate on harassment,
de,8,"trump, präsident, donald, ukraine, andrej, bachelor, newsblog, demokraten, biden, selenskyj, jennifer, netanjahu, usa, ermittlungen, wegen",DROP  (unrelated news blog),
en,1,"allegations, harassment, court, state, former, investigation, accused, case, akbar, kavanaugh, house, alleged, statement, claims, made",Legal and political investigations,
en,2,"music, kelly, song, industry, show, best, performance, star, awards, media, singer, night, grammys, radio, color",Music industry allegations,
en,3,"harassment, men, assault, workplace, many, sex, people, victims, company, work, employees, male, culture, cosby, even",Workplace harassment and policy,
en,4,"harassment, allegations, accused, film, actor, media, india, industry, director, statement, actress, misconduct, allen, assault, woman",Film industry allegations,
en,5,"police, court, case, rape, delhi, nirbhaya, death, india, justice, milano, singh, accused, december, convicts, petition",Indian criminal cases,
en,6,"trump, weinstein, president, hollywood, harvey, harassment, clinton, burke, assault, men, york, allegations, times, argento, white",US politics and Weinstein,
en,7,"like, people, men, know, think, don, now, get, way, even, woman, man, story, really, didn","DROP  (function words, no theme)",
en,8,"violence, abuse, harassment, university, gender, students, public, victims, people, social, country, support, media, girls, school",Campus and prevention,
es,1,"hombres, sociales, redes, país, feminista, trabajo, política, estados, campaña, presidente, tema, mujer, nuestros, gobierno, nuestro",Feminist politics and social media,
es,2,"sexual, acoso, metoo, movimiento, sexuales, abuso, abusos, sido, acusaciones, weinstein, actriz, manada, violación, caso, denuncia",The MeToo movement,
es,3,"violencia, género, víctimas, casos, mujer, nacional, estado, ley, feminicidio, cada, atención, protección, además, denuncias, gobierno",Gender violence law and policy,
es,4,"violencia, género, igualdad, madrid, vox, gobierno, machista, ayuntamiento, internacional, partido, córdoba, lucha, acto, jueves, formación",Spanish party politics,
es,5,"feminicidio, estado, puebla, autoridades, universidad, investigación, político, violador, caso, justicia, fiscalãa, estudiante, general, casa, estudiantes",Mexican femicide investigations,
es,6,"casa, familia, madre, estaba, hija, mujer, justicia, vida, tenía, hace, vez, hacer, hijos, nunca, violencia",Personal and family narrative,
es,7,"mujer, pareja, cuerpo, víctima, policía, hombre, joven, femicidio, casa, lugar, luego, feminicidio, detenido, hecho, crimen",Individual femicide cases,
es,8,"delito, prisión, víctima, fiscal, juicio, fiscalía, caso, audiencia, penal, juez, femicidio, tribunal, justicia, feminicidio, sentencia",Court proceedings,
fr,1,"femmes, comme, aussi, harcèlement, hommes, victimes, elles, violences, contre, peut, bien, sexuelles, ils, femme, entre",General discussion of harassment,
fr,2,"weinstein, femmes, harvey, metoo, accusé, accusations, producteur, actrice, mouvement, aussi, york, américain, contre, depuis, plusieurs",General discussion of harassment,
fr,3,"victime, cour, fille, jeune, homme, accusé, prison, ils, procès, police, devant, policiers, assises, condamné, tribunal",Criminal trials,
fr,4,"jeune, garde, examen, vue, enquête, femme, parquet, plainte, homme, paris, judiciaire, placé, aurait, sous, détention",Police investigations,
fr,5,"harcèlement, enquête, justice, sexuel, balancetonporc, muller, sandra, assange, gilbert, contre, ancien, tribunal, patrick, lors, julian",#BalanceTonPorc and the Muller case,
fr,6,"réalisateur, adèle, haenel, polanski, actrice, film, roman, christophe, justice, ruggia, sexuel, harcèlement, cinéma, enquête, alors","Haenel, Polanski and the film industry",
fr,7,"ramadan, tariq, plainte, femme, neymar, paris, depuis, suisse, contre, enquête, islamologue, ayari, hôtel, henda, avocat",Tariq Ramadan case,
fr,8,"plainte, enquête, darmanin, ministre, plaignante, accusations, suite, parquet, contre, femme, ronaldo, paris, affaire, sans, aurait",Police investigations,
pt,1,"justiça, crime, vítima, tribunal, júri, acusado, feminicídio, defesa, réu, julgamento, juiz, público, condenado, prisão, homicídio",Court trials,
pt,2,"mulheres, sobre, dia, pessoas, violência, muito, gente, ainda, sociedade, campanha, nós, país, estão, governo, grupo",Public campaigns and debate,
pt,3,"comentários, vítima, tatiane, advogada, crime, polícia, defesa, felipe, prédio, paraná, após, dia, manvailer, gazeta, spitzner",A single named case,
pt,4,"sexual, mulheres, assédio, metoo, sobre, movimento, ter, muito, atriz, homens, pessoas, acusações, abuso, trabalho, weinstein",The MeToo movement,
pt,5,"feminicídio, violência, lei, mulheres, crime, doméstica, justiça, maria, penha, projeto, pena, crimes, casos, câmara, pública",Maria da Penha law and legislation,
pt,6,"violência, mulheres, casos, feminicídio, vítimas, estado, segurança, brasil, segundo, dados, gênero, número, crime, pública, ainda",Violence statistics,
pt,7,"letra, brasileira, seleção, música, série, divulgação, primeira, neste, domingo, vôlei, melhor, feminina, brasileiro, noite, arte","DROP  (sport and entertainment, unrelated)",
pt,8,"polícia, crime, vítima, casa, feminicídio, estava, segundo, suspeito, caso, após, homem, preso, civil, dia, corpo",Police cases,
sv,1,"arbetar, svt, läs, stå, kampanjen, miljoner, fakta, svårt, relevant, berätta, sverige, sant, bekräftade, annat, akuta",DROP  (broadcaster boilerplate),
sv,2,"mån, trump, oktober, därefter, vår, fram, emma, nya, ingen, skriver, usa, årets, redan, bästa, artiklar","DROP  (function words, no theme)",
sv,3,"wallin, virtanen, cissi, fredrik, medier, aftonbladet, anklagelserna, flera, oktober, förtal, enligt, sociala, anklagelser, inlägg, tidigare",Virtanen and Wallin defamation case,
sv,4,"akademien, kulturprofilen, svenska, två, mannen, våldtäkt, arnault, fall, sara, hurtig, dagens, björn, kallade, danius, hovrätten",Swedish Academy and Kulturprofilen,
sv,5,"vittnar, skriver, svenska, upprop, flera, uppropet, kvinnliga, oktober, kampanjen, berättar, några, senare, weinstein, sexism, medier",The upprop campaigns,
sv,6,"män, någon, varit, utan, allt, göra, tror, gör, kanske, bli, ser, blev, ingen, tycker, själv","DROP  (function words, no theme)",
sv,7,"nilsson, kvinnan, stefan, enligt, flera, fick, skriver, rörelsen, varit, ryssland, uppropet, samtidigt, skådespelare, misslyckats, stora",The upprop campaigns,
sv,8,"våld, procent, män, sverige, fram, rörelsen, kvinnors, uppropet, fler, enligt, göra, sexuellt, vittnesmål, berättelser, fick",Violence statistics,
