language,articles,method,pct_of_detected
en,14766,langdetect_on_title,35.1
es,11338,langdetect_on_title,27.0
fr,5545,langdetect_on_title,13.2
ko,1933,langdetect_on_title,4.6
pt,1006,langdetect_on_title,2.4
de,817,langdetect_on_title,1.9
tr,780,langdetect_on_title,1.9
it,681,langdetect_on_title,1.6
ro,654,langdetect_on_title,1.6
zh-cn,559,langdetect_on_title,1.3
ar,548,langdetect_on_title,1.3
sv,480,langdetect_on_title,1.1
hi,477,langdetect_on_title,1.1
id,376,langdetect_on_title,0.9
el,261,langdetect_on_title,0.6
ca,243,langdetect_on_title,0.6
ru,192,langdetect_on_title,0.5
no,139,langdetect_on_title,0.3
nl,103,langdetect_on_title,0.2
bg,101,langdetect_on_title,0.2
ja,100,langdetect_on_title,0.2
et,75,langdetect_on_title,0.2
ml,75,langdetect_on_title,0.2
hu,71,langdetect_on_title,0.2
hr,63,langdetect_on_title,0.1
ta,60,langdetect_on_title,0.1
pl,58,langdetect_on_title,0.1
mk,51,langdetect_on_title,0.1
kn,49,langdetect_on_title,0.1
mr,46,langdetect_on_title,0.1
cs,43,langdetect_on_title,0.1
bn,40,langdetect_on_title,0.1
he,36,langdetect_on_title,0.1
af,31,langdetect_on_title,0.1
gu,30,langdetect_on_title,0.1
da,28,langdetect_on_title,0.1
fi,25,langdetect_on_title,0.1
vi,22,langdetect_on_title,0.1
tl,20,langdetect_on_title,0.0
uk,18,langdetect_on_title,0.0
pa,18,langdetect_on_title,0.0
fa,13,langdetect_on_title,0.0
sq,12,langdetect_on_title,0.0
lt,11,langdetect_on_title,0.0
th,10,langdetect_on_title,0.0
sl,9,langdetect_on_title,0.0
sw,9,langdetect_on_title,0.0
sk,8,langdetect_on_title,0.0
zh-tw,8,langdetect_on_title,0.0
ne,6,langdetect_on_title,0.0
ur,6,langdetect_on_title,0.0
te,6,langdetect_on_title,0.0
lv,2,langdetect_on_title,0.0
so,2,langdetect_on_title,0.0
