source_country,keyword,articles,rank
Afghanistan,violence against women,15,1
Afghanistan,#MeToo,3,2
Afghanistan,sexual harassment,3,3
Afghanistan,آزار جنسی,2,4
Afghanistan,Ali Zafar,1,5
Albania,#MeToo,5,1
Albania,ngacmim seksual,5,2
Albania,viol,1,3
Algeria,viol,31,1
Algeria,violence against women,5,2
Algeria,harcèlement,4,3
Algeria,تحرش,4,4
Algeria,التحرش,2,5
Algeria,PPDA,1,6
Andorra,#MeToo,1,1
Andorra,#NoEsNo,1,2
Andorra,#NotAllMen,1,3
Andorra,La Manada,1,4
Angola,#MeToo,1,1
Anguilla,violence against women,1,1
Antigua and Barbuda,#MeToo,3,1
Argentina,femicidio,5509,1
Argentina,violencia de género,1015,2
Argentina,#MeToo,341,3
Argentina,#NiUnaMenos,311,4
Argentina,viol,121,5
Argentina,acoso sexual,115,6
Argentina,feminicidio,72,7
Argentina,#MiraComoNosPonemos,56,8
Argentina,feminazi,51,9
Argentina,acoso callejero,37,10
Armenia,#MeToo,17,1
Armenia,սեռական ոտնձգություն,7,2
Armenia,violence against women,6,3
Armenia,masla,4,4
Armenia,#KuToo,2,5
Armenia,due process,2,6
Armenia,sexual harassment,2,7
Armenia,охота на ведьм,2,8
Armenia,harcèlement,1,9
Australia,#MeToo,2502,1
Australia,sexual harassment,73,2
Australia,viol,54,3
Australia,#HimToo,48,4
Australia,#MenToo,44,5
Australia,#TimesUp,39,6
Australia,#WitchHunt,35,7
Australia,sexual violence,30,8
Australia,More Than Me,24,9
Australia,#LetHerSpeak,21,10
Austria,#MeToo,429,1
Austria,#Aufschrei,66,2
Austria,#aufschrei,66,3
Austria,Hexenjagd,23,4
Austria,#IHave,10,5
Austria,sexuelle Belästigung,9,6
Austria,Sigi Maurer,8,7
Austria,#TimesUp,7,8
Austria,#WhyIDidntReport,6,9
Austria,violence against women,2,10
Azerbaijan,masla,6,1
Azerbaijan,#MeToo,3,2
Azerbaijan,#MənDə,3,3
Azerbaijan,sexual violence,2,4
Azerbaijan,#TimesUp,1,5
Azerbaijan,due process,1,6
Azerbaijan,false accusations,1,7
Bahamas,violence against women,4,1
Bahamas,#MeToo,3,2
Bahamas,viol,1,3
Bahrain,التحرش,5,1
Bahrain,تحرش,5,2
Bahrain,Nirbhaya,2,3
Bangladesh,#MeToo,179,1
Bangladesh,sexual harassment,18,2
Bangladesh,violence against women,10,3
Bangladesh,#আমিও,6,4
Bangladesh,Nirbhaya,2,5
Bangladesh,#MeTooIndia,1,6
Bangladesh,#WhyIDidntReport,1,7
Bangladesh,sexual violence,1,8
Barbados,#MeToo,3,1
Barbados,violence against women,3,2
Barbados,sexual violence,1,3
Belarus,masla,34,1
Belarus,#MeToo,5,2
Belarus,#LoSHA,1,3
Belarus,#TimesUp,1,4
Belgium,viol,1716,1
Belgium,#MeToo,556,2
Belgium,sexisme,136,3
Belgium,harcèlement,120,4
Belgium,#BalanceTonPorc,62,5
Belgium,Adèle Haenel,38,6
Belgium,harcèlement sexuel,36,7
Belgium,violences sexuelles,17,8
Belgium,PPDA,9,9
Belgium,#KuToo,5,10
Belize,violence against women,2,1
Belize,sexual violence,1,2
Benin,viol,8,1
Benin,#MeToo,1,2
Benin,harcèlement,1,3
Bermuda,#MeToo,4,1
Bermuda,violence against women,1,2
Bhutan,#MeToo,1,1
Bhutan,violence against women,1,2
Bolivia,feminicidio,802,1
Bolivia,#MeToo,39,2
Bolivia,La Manada,13,3
Bolivia,viol,8,4
Bolivia,violencia de género,5,5
Bolivia,#NiUnaMenos,4,6
Bolivia,acoso sexual,4,7
Bolivia,femicidio,4,8
Bolivia,El violador eres tú,3,9
Bolivia,#HimToo,2,10
Bosnia-Herzegovina,#MeToo,7,1
Bosnia-Herzegovina,seksualno uznemiravanje,4,2
Bosnia-Herzegovina,Denis Mukwege,3,3
Bosnia-Herzegovina,#SpasiMe,1,4
Bosnia-Herzegovina,masla,1,5
Brazil,feminicidio,3259,1
Brazil,#MeToo,561,2
Brazil,viol,483,3
Brazil,mimimi,150,4
Brazil,assédio sexual,136,5
Brazil,#EleSim,18,6
Brazil,feminazi,6,7
Brazil,#HimToo,5,8
Brazil,#HowIWillChange,5,9
Brazil,#TimesUp,5,10
British Indian Ocean Territory,#MeToo,2,1
Brunei,#MeToo,12,1
Brunei,sexual harassment,2,2
Brunei,sexual violence,2,3
Brunei,gangguan seksual,1,4
Brunei,violence against women,1,5
Bulgaria,#LoSHA,208,1
Bulgaria,#MeToo,38,2
Bulgaria,сексуален тормоз,27,3
Bulgaria,masla,20,4
Bulgaria,violence against women,4,5
Bulgaria,sexual harassment,2,6
Burkina Faso,viol,22,1
Burkina Faso,harcèlement,2,2
Burkina Faso,harcèlement sexuel,2,3
Burkina Faso,#MeToo,1,4
Burkina Faso,Denis Mukwege,1,5
Burkina Faso,violences sexuelles,1,6
Burundi,viol,4,1
Cambodia,#MeToo,7,1
Cambodia,sexual harassment,1,2
Cambodia,sexual violence,1,3
Cameroon,viol,88,1
Cameroon,#MeToo,38,2
Cameroon,harcèlement,4,3
Cameroon,#WitchHunt,3,4
Cameroon,violences sexuelles,3,5
Cameroon,Adèle Haenel,2,6
Cameroon,harcèlement sexuel,2,7
Cameroon,#KuToo,1,8
Cameroon,due process,1,9
Cameroon,sexisme,1,10
Canada,#MeToo,4102,1
Canada,viol,582,2
Canada,#MoiAussi,302,3
Canada,sexual harassment,139,4
Canada,sexisme,110,5
Canada,#WhyIDidntReport,92,6
Canada,violence against women,75,7
Canada,#TimesUp,73,8
Canada,harcèlement,69,9
Canada,sexual violence,52,10
