language,topic,name,top_words
de,1,General debate on harassment,"belästigung, man, sexuelle, männer, unter, wurde, gewalt, frau, sei, debatte, viele, immer, opfer, mann, sexueller"
de,2,General debate on harassment,"man, debatte, zeit, gibt, mich, film, immer, deutschland, wedel, schon, jetzt, sei, ihrer, viel, mir"
de,3,Time Person of the Year,"jahres, bewegung, kinder, person, übergriffe, männer, swift, trump, seit, magazin, gemeinsam, weinstein, ball, eltern, judd"
de,4,Weinstein,"weinstein, vorwürfe, harvey, wurde, bewegung, sexuelle, york, hollywood, sei, sexueller, unter, übergriffe, wegen, schauspielerin, argento"
de,5,"US politics, witch-hunt framing","trump, präsident, donald, mueller, russland, trumps, ermittlungen, hexenjagd, sei, washington, worden, präsidenten, seinen, regierung, unter"
de,6,DROP  (press release boilerplate),"www, besonders, jetzt, prozent, http, erste, zeigen, aktien, ots, presseportal, newsroom, viele, via, rss, korrektur"
de,7,General debate on harassment,"deneuve, catherine, berlinale, sexuelle, debatte, false, freiheit, frankreich, csd, berlin, interview, true, gewalt, sei, pulitzer"
de,8,DROP  (unrelated news blog),"trump, präsident, donald, ukraine, andrej, bachelor, newsblog, demokraten, biden, selenskyj, jennifer, netanjahu, usa, ermittlungen, wegen"
en,1,Legal and political investigations,"allegations, harassment, court, state, former, investigation, accused, case, akbar, kavanaugh, house, alleged, statement, claims, made"
en,2,Music industry allegations,"music, kelly, song, industry, show, best, performance, star, awards, media, singer, night, grammys, radio, color"
en,3,Workplace harassment and policy,"harassment, men, assault, workplace, many, sex, people, victims, company, work, employees, male, culture, cosby, even"
en,4,Film industry allegations,"harassment, allegations, accused, film, actor, media, india, industry, director, statement, actress, misconduct, allen, assault, woman"
en,5,Indian criminal cases,"police, court, case, rape, delhi, nirbhaya, death, india, justice, milano, singh, accused, december, convicts, petition"
en,6,US politics and Weinstein,"trump, weinstein, president, hollywood, harvey, harassment, clinton, burke, assault, men, york, allegations, times, argento, white"
en,7,"DROP  (function words, no theme)","like, people, men, know, think, don, now, get, way, even, woman, man, story, really, didn"
en,8,Campus and prevention,"violence, abuse, harassment, university, gender, students, public, victims, people, social, country, support, media, girls, school"
es,1,Feminist politics and social media,"hombres, sociales, redes, país, feminista, trabajo, política, estados, campaña, presidente, tema, mujer, nuestros, gobierno, nuestro"
es,2,The MeToo movement,"sexual, acoso, metoo, movimiento, sexuales, abuso, abusos, sido, acusaciones, weinstein, actriz, manada, violación, caso, denuncia"
es,3,Gender violence law and policy,"violencia, género, víctimas, casos, mujer, nacional, estado, ley, feminicidio, cada, atención, protección, además, denuncias, gobierno"
es,4,Spanish party politics,"violencia, género, igualdad, madrid, vox, gobierno, machista, ayuntamiento, internacional, partido, córdoba, lucha, acto, jueves, formación"
es,5,Mexican femicide investigations,"feminicidio, estado, puebla, autoridades, universidad, investigación, político, violador, caso, justicia, fiscalãa, estudiante, general, casa, estudiantes"
es,6,Personal and family narrative,"casa, familia, madre, estaba, hija, mujer, justicia, vida, tenía, hace, vez, hacer, hijos, nunca, violencia"
es,7,Individual femicide cases,"mujer, pareja, cuerpo, víctima, policía, hombre, joven, femicidio, casa, lugar, luego, feminicidio, detenido, hecho, crimen"
es,8,Court proceedings,"delito, prisión, víctima, fiscal, juicio, fiscalía, caso, audiencia, penal, juez, femicidio, tribunal, justicia, feminicidio, sentencia"
fr,1,General discussion of harassment,"femmes, comme, aussi, harcèlement, hommes, victimes, elles, violences, contre, peut, bien, sexuelles, ils, femme, entre"
fr,2,General discussion of harassment,"weinstein, femmes, harvey, metoo, accusé, accusations, producteur, actrice, mouvement, aussi, york, américain, contre, depuis, plusieurs"
fr,3,Criminal trials,"victime, cour, fille, jeune, homme, accusé, prison, ils, procès, police, devant, policiers, assises, condamné, tribunal"
fr,4,Police investigations,"jeune, garde, examen, vue, enquête, femme, parquet, plainte, homme, paris, judiciaire, placé, aurait, sous, détention"
fr,5,#BalanceTonPorc and the Muller case,"harcèlement, enquête, justice, sexuel, balancetonporc, muller, sandra, assange, gilbert, contre, ancien, tribunal, patrick, lors, julian"
fr,6,"Haenel, Polanski and the film industry","réalisateur, adèle, haenel, polanski, actrice, film, roman, christophe, justice, ruggia, sexuel, harcèlement, cinéma, enquête, alors"
fr,7,Tariq Ramadan case,"ramadan, tariq, plainte, femme, neymar, paris, depuis, suisse, contre, enquête, islamologue, ayari, hôtel, henda, avocat"
fr,8,Police investigations,"plainte, enquête, darmanin, ministre, plaignante, accusations, suite, parquet, contre, femme, ronaldo, paris, affaire, sans, aurait"
pt,1,Court trials,"justiça, crime, vítima, tribunal, júri, acusado, feminicídio, defesa, réu, julgamento, juiz, público, condenado, prisão, homicídio"
pt,2,Public campaigns and debate,"mulheres, sobre, dia, pessoas, violência, muito, gente, ainda, sociedade, campanha, nós, país, estão, governo, grupo"
pt,3,A single named case,"comentários, vítima, tatiane, advogada, crime, polícia, defesa, felipe, prédio, paraná, após, dia, manvailer, gazeta, spitzner"
pt,4,The MeToo movement,"sexual, mulheres, assédio, metoo, sobre, movimento, ter, muito, atriz, homens, pessoas, acusações, abuso, trabalho, weinstein"
pt,5,Maria da Penha law and legislation,"feminicídio, violência, lei, mulheres, crime, doméstica, justiça, maria, penha, projeto, pena, crimes, casos, câmara, pública"
pt,6,Violence statistics,"violência, mulheres, casos, feminicídio, vítimas, estado, segurança, brasil, segundo, dados, gênero, número, crime, pública, ainda"
pt,7,"DROP  (sport and entertainment, unrelated)","letra, brasileira, seleção, música, série, divulgação, primeira, neste, domingo, vôlei, melhor, feminina, brasileiro, noite, arte"
pt,8,Police cases,"polícia, crime, vítima, casa, feminicídio, estava, segundo, suspeito, caso, após, homem, preso, civil, dia, corpo"
sv,1,DROP  (broadcaster boilerplate),"arbetar, svt, läs, stå, kampanjen, miljoner, fakta, svårt, relevant, berätta, sverige, sant, bekräftade, annat, akuta"
sv,2,"DROP  (function words, no theme)","mån, trump, oktober, därefter, vår, fram, emma, nya, ingen, skriver, usa, årets, redan, bästa, artiklar"
sv,3,Virtanen and Wallin defamation case,"wallin, virtanen, cissi, fredrik, medier, aftonbladet, anklagelserna, flera, oktober, förtal, enligt, sociala, anklagelser, inlägg, tidigare"
sv,4,Swedish Academy and Kulturprofilen,"akademien, kulturprofilen, svenska, två, mannen, våldtäkt, arnault, fall, sara, hurtig, dagens, björn, kallade, danius, hovrätten"
sv,5,The upprop campaigns,"vittnar, skriver, svenska, upprop, flera, uppropet, kvinnliga, oktober, kampanjen, berättar, några, senare, weinstein, sexism, medier"
sv,6,"DROP  (function words, no theme)","män, någon, varit, utan, allt, göra, tror, gör, kanske, bli, ser, blev, ingen, tycker, själv"
sv,7,The upprop campaigns,"nilsson, kvinnan, stefan, enligt, flera, fick, skriver, rörelsen, varit, ryssland, uppropet, samtidigt, skådespelare, misslyckats, stora"
sv,8,Violence statistics,"våld, procent, män, sverige, fram, rörelsen, kvinnors, uppropet, fler, enligt, göra, sexuellt, vittnesmål, berättelser, fick"
